"","FBspecies","a","b","Locality"
"311","Diplodus puntazzo","0.0371","2.7394","between Sinop and Hopa/2018-2019"
"312","Symphodus mediterraneus","0.01439","3.012","South Euboikos Gulf / 1992-1993."
"313","Symphodus mediterraneus","0.01439","3.012","G. S. Evvoikos, 1992-93"
"314","Symphodus mediterraneus","0.0212","2.879","East coast, 1995"
"315","Symphodus mediterraneus","0.0173","2.902","Gökceada Island (northern Aegean Sea), 2004-2025"
"316","Symphodus mediterraneus","0.0139","3.0029","Southern Agean Sea / 2009-2010."
"317","Symphodus mediterraneus","0.01","3.157","Gökçeada Island, northern Aegean Sea / 2013-2014."
"318","Balistes capriscus","0.0124","3.089","Butt of Lewis & Inner Hebrides, 1984"
"319","Balistes capriscus","0.0139","3.065","Northeastern Gulf of Mexico, 1979-82"
"320","Balistes capriscus","0.00671","3.187","Northeastern Gulf of Mexico, 1979-82"
"321","Balistes capriscus","0.0251","2.935","Southern Florida"
"322","Balistes capriscus","0.0585","2.65","South Coast, 1994-95"
"323","Balistes capriscus","0.0192","2.36","Gulf of Salamanca, Caribbean, 1995-98"
"324","Balistes capriscus","0.0088","3.152","Algarve coast, Portugal / 1998-00"
"325","Balistes capriscus","0.0163","3.084","southeastern coast, 1997-98"
"326","Balistes capriscus","0.024","2.942","Central coast, 1993-2000"
"327","Balistes capriscus","0.1823","2.215","Central coast, 1993-2000"
"328","Balistes capriscus","0.0214","3","Southwestern EEZ of Brazil."
"329","Balistes capriscus","0.198","2.336","Póvoado Varzim to Figueira da Foz, 1994"
"330","Balistes capriscus","0.03286","2.852","Southern region, 1990-1993"
"331","Balistes capriscus","0.01143","3.2295","Southern coast, São Paulo"
"332","Balistes capriscus","0.00902","3.1965","Southern coast, São Paulo"
"333","Balistes capriscus","0.0119","3.16","Southeastern region, 1995-1996"
"334","Balistes capriscus","0.0678","2.429","NE Mediterranean coast, 2001-2003"
"335","Balistes capriscus","0.0235","2.88","Southeastern coast"
"336","Balistes capriscus","0.0711","2.515","western Gulf of Guinea (Benin, Togo, Ghana and Ivory Coast), 2005"
"337","Balistes capriscus","0.0166","3.081","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"338","Balistes capriscus","0.0754","2.55","Continental shelf and upper slope / 2008-2011"
